               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.039286,           0.0073555,                   0,             0.83237,             0.69214,             0.75238,             0.36471,            0.038949,           0.0074866,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.039208,           0.0073804,                   0,             0.79457,             0.68414,             0.73385,             0.35798,            0.039644,           0.0075201,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.039191,           0.0074006,                   0,             0.81527,             0.69981,             0.74801,             0.36544,            0.039183,           0.0074325,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.038407,           0.0072483,                   0,             0.79632,             0.70494,              0.7544,             0.36527,            0.039885,           0.0072715,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.037979,           0.0072249,                   0,             0.85601,             0.71461,             0.76966,             0.36828,            0.039388,           0.0072215,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.038539,           0.0072805,                   0,             0.84588,             0.69565,             0.75534,             0.36996,            0.039984,           0.0072181,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.037217,           0.0071469,                   0,             0.84063,             0.70822,             0.75825,             0.38272,            0.038695,             0.00709,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.037428,           0.0072176,                   0,              0.8697,             0.69182,             0.76411,             0.38471,            0.038402,           0.0070787,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.037568,           0.0071186,                   0,              0.8386,             0.70431,             0.76332,             0.37968,            0.038839,           0.0071304,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.036702,           0.0070627,                   0,             0.88448,             0.68536,             0.77095,             0.38495,            0.038251,           0.0070449,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.036888,           0.0070711,                   0,             0.85265,             0.70297,             0.76094,             0.38339,            0.038291,           0.0071036,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.036203,           0.0070133,                   0,             0.85471,              0.6867,             0.75181,             0.37858,            0.039143,           0.0072731,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.035834,           0.0068959,                   0,             0.83747,             0.71165,             0.76283,             0.38302,            0.038933,           0.0070551,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.035674,           0.0068696,                   0,             0.87538,             0.70332,             0.76411,             0.38919,            0.038243,           0.0070342,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.035972,           0.0069298,                   0,             0.84792,             0.71995,             0.76694,             0.38506,            0.038387,           0.0070749,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.035688,           0.0069611,                   0,             0.84973,             0.70972,             0.76559,             0.38187,            0.038516,           0.0070131,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.035022,           0.0066685,                   0,             0.86754,             0.68676,             0.77056,             0.38437,            0.037897,           0.0070032,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.03527,           0.0067719,                   0,              0.8396,             0.70716,             0.77503,             0.39365,            0.038429,           0.0070458,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.034783,            0.006701,                   0,             0.85134,             0.72379,             0.78222,             0.39147,            0.038261,           0.0069462,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.034739,           0.0066609,                   0,             0.85549,             0.72634,              0.7726,             0.38595,            0.038392,           0.0070171,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.03432,           0.0066329,                   0,             0.88618,             0.72506,             0.77833,              0.4052,              0.0379,           0.0069129,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.034016,           0.0066092,                   0,              0.8593,             0.73913,              0.7911,             0.40625,            0.037842,           0.0068699,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.034084,             0.00671,                   0,             0.87539,             0.73529,             0.78722,             0.39885,            0.037859,           0.0069257,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.033918,           0.0065479,                   0,             0.88842,             0.73312,             0.79014,             0.40643,             0.03725,           0.0068787,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.033882,           0.0065517,                   0,             0.87713,             0.73785,             0.78658,             0.40518,            0.037558,           0.0068563,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.033526,           0.0065144,                   0,             0.86738,             0.72763,             0.79413,             0.41236,            0.037275,           0.0068649,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.033324,           0.0066384,                   0,             0.87203,               0.732,             0.79974,             0.40384,            0.037421,           0.0069172,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.033068,            0.006486,                   0,             0.87792,             0.73913,             0.78066,             0.40378,            0.037615,           0.0068515,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.032657,            0.006318,                   0,             0.90337,             0.71867,             0.78911,             0.40424,            0.037763,           0.0069241,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.032394,           0.0063792,                   0,             0.90109,             0.74041,             0.79805,             0.40589,            0.037582,           0.0068994,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.032411,           0.0063619,                   0,             0.87411,             0.73657,             0.78717,             0.40475,            0.037929,           0.0068865,                   0,            0.001288,            0.001288,            0.001288
